Symbol	Description
CTD	Corporate Travel Management Limited
CTDKOB	Corporate Travel Management Limited
CTDKOQ	Corporate Travel Management Limited
CTE	Cryosite Ltd
CTM	Centaurus Metals Limited
CTN	Contango Microcap Ltd
CTO	Citigold Corporation Ltd
CTP	Central Petroleum Ltd
CTQ	Careteq Limited
CTT	Crest Minerals Limited
CU6	Clarity Pharmaceuticals Ltd
CUE	Cue Energy Resources Ltd
CUF	Cufe Ltd
CUFO	CUFO
CUL	Cullen Resources Ltd
CUP	Countplus Limited
CUS	Customers Ltd
CUV	Clinuvel Pharmaceuticals Ltd
CVB	Cheviot Bridge Ltd
CVC	CVC Ltd
CVCHA	CVCHA
CVL	Clearview Capital
CVN	Carnarvon Petroleum Ltd
CVR	Central Asia Resources Ltd
CVV	Caravel Minerals Limited
CVVOB	CVVOB
CVW	Clearview Wealth Limited
CWP	Cedar Woods Properties Ltd
CWX	Carawine Resources Limited
CWY	Cleanaway Waste Management Limited
CWYKOC	Cleanaway Waste Management Limited
CWYKOF	Cleanaway Waste Management Limited
CWYKOP	Cleanaway Waste Management Limited
CWYKOQ	Cleanaway Waste Management Limited
CXL	Central Exchange Ltd
CXM	Centrex Mentals Ltd
CXO	Core Exploration Limited
CXU	
CXUO	Cauldron Energy Limited
CXZ	Connexion Media Limited
CY5	Cygnus Gold Limited
CYC	Cyclopharm Ltd
CYG	Coventry Group Ltd
CYL	Catalyst Metals Ltd
CYM	Cyprium Metals Limited
CYP	Cynata Therapeutics Limited
CYPOA	CYPOA
CYQ	Cycliq Group Ltd
CZN	Corazon Mining Limited
CZR	Coziron Resources Ltd
D2O	Duxton Water Limited
D2OOA	D2OOA
D3E	D3 Energy Limited
DAF	Discovery Africa Limited
DAL	Dalaroo Metals Ltd
DAOR	DAOR
DBBF	DBBF
DBF	Duxton Broadacre Farms Limited
DBI	Dalrymple Bay Infrastructure Limited
DBO	Diablo Resources Limited
DCC	Digital Cc Limited
DCG	Decmil Group Limited
DCGPA	DCGPA
DCL	Data & Commerce
DDB	Dynamic Drill And Blast Holdings Limited
DDR	Dicker Data Limited
DDT	DataDot Technology Ltd
DEG	De Grey Mining Ltd
DEL	Delorean Corporation Limited
DEM	De.mem Limited
DES	Destra Corporation Ltd
DESO	DESO
DEV	Devex Resources Limited
DFGH	DFGH
DGGF	DGGF
DGH	Desane Group Holdings Ltd
DGL	Dgl Group Limited
DGR	D'Aguilar Gold Ltd
DHG	Domain Holdings Australia Limited.
DHHF	DHHF
DHOF	DHOF
DJW	Djerriwarth Investments Ltd
DJXKOC	DJXKOC
DJXKOE	DJXKOE
DJXKOJ	DJXKOJ
DJXKOK	DJXKOK
DJXKOM	DJXKOM
DJXKOQ	Djia Mini E-cbot
DJXKOR	Djia Mini E-cbot
DJXKOV	DJXKOV
DJXKOW	DJXKOW
DJXKOY	DJXKOY
DKM	Duketon Mining Limited
DLI	Delta Lithium Limited
DLM	Dominion Minerals Limited
DM1	Directmoney Limited
DM1O	DM1O
DMC	Digimatic Group Limited
DME	Dome Gold Mines Limited
DMG	Dragon Gold Mountain Ltd
DMM	DMC Mining Ltd
DMMO	DMC Mining Ltd
DMP	Domino's Pizza Australia NZ Ltd
DMPKOA	Dominos Pizza Enterprises Limited
DMPKOC	Dominos Pizza Enterprises Limited
DMPKOD	Dominos Pizza Enterprises Limited
DMPKOG	Dominos Pizza Enterprises Limited
DMPKOS	Dominos Pizza Enterprises Limited
DMPKOZ	DMPKOZ
DNA	Donaco International Limited
DNK	Danakali Limited
DOC	Doctor Care Anywhere Group Plc
DOU	Douugh Limited
DOUO	DOUO
DOW	Downer EDI Ltd
DOWKOC	Downer Edi Limited
DOWKOP	Downer Edi Limited
DOWKOR	Downer Edi Limited
DOWKOS	Downer Edi Limited
DOWKOT	Downer Edi Limited
DRA	Dragon Mining NL
DRE	Dalrymple Resources Nl
DRO	Droneshield Limited
DRR	Deterra Royalties Limited
DRRKOA	DRRKOA
DRRKOB	DRRKOB
DRRKOC	DRRKOC
DRUG	Betashares Global Healthcare Etf - Currency Hedged
DRX	Diatreme Resources Ltd
DSE	Dropsuite Limited
DSK	Dusk Group Limited
DTI	Dti Group Ltd
DTL	Data#3 Ltd
DTM	Dart Mining NL
DTR	Dateline Resources Limited
DTRO	DTRO
DTRR	Dateline Resources Limited
DTZ	Dotz Nano Limited
DUB	Dubber Corporation Limited
DUG	Dug Technology Ltd
DUI	Diversified United Investment Ltd
DUN	Dundas Minerals Limited
DUR	Duratec Limited
DVL	Dorsavi Ltd
DVP	Develop Global Limited
DXB	Dimerix Limited
DXBO	DXBO
DXC	Dexus Convenience Retail Reit
DXI	Dexus Industria Reit.
DXN	The Data Exchange Network Limited
DXS	Dexus Property Group
DXSKOA	Dexus Property Group
DXSKOB	Dexus Property Group
DXSKOE	DXSKOE
DXSKOQ	Dexus Property Group
DXSKOR	Dexus Property Group
DY6	Dy6 Metals Ltd
DYL	Deep Yellow Ltd
DYLKOA	DYLKOA
DYLKOB	DYLKOB
DYLKOC	DYLKOC
DYM	Dynamic Metals Limited
DZZF	DZZF
E200	E200
E25	Element 25 Limited
E33	East 33 Limited..
E79	E79 Gold Mines Limited
EAFZ	EAFZ
EAX	Energy Action Limited
EBG	Eumundi Group Ltd
EBO	Ebos Group Limited
EBR	Eagle Bay Resources NL
ECF	Elanor Commercial Property Fund
ECG	Ecargo Holdings Limited
ECH	Echelon Resources Ltd
ECL	Excelsior Capital Ltd
ECP	E Corp
ECPGA	ECPGA
ECS	ECSI Ltd
ECT	Environmental Clean Technologies Limited.
EDC	Eildon Capital Limited
EDE	Eden Energy Ltd
EDEO	Eden Energy Ltd
EDEOC	Eden Innovations Ltd
EDEOD	EDEOD
EDOC	EDOC
EDU	Edu Holdings Limited
EDV	Endeavour Group Limited
EDVKOB	EDVKOB
EDVKOC	EDVKOC
EDVKOD	EDVKOD
EE1	Earths Energy Limited
EEG	Empire Energy Group Limited
EEL	Envirostar Energy
EFE	Eastern Iron Ltd
EG1	Evergreen Lithium Limited
EGG	Enero Group Limited
EGH	Eureka Group Holdings Limited
EGL	Environmental Group Ltd (The)
EGN	EGN
EGR	Ecograf Limited
EGY	Energy Technologies Limited
EGYO	EGYO
EHL	Emeco Holdings Ltd
EIGA	EIGA
EINC	EINC
EIQ	Echoiq Limited
EL8	Elevate Uranium Ltd
ELD	ELD
ELDKOA	Elders Limited
ELDKOB	ELDKOB
ELE	Elmore Ltd
ELS	Equity Long / Short Strategies Fund (the)
ELT	Elementos Limited
EM2	Eagle Mountain Mining Limited
EM2O	EM2O
EMB	Embelton Ltd
EMC	Emefcy Group Limited
EMD	Emerald Clinics Limited
EME	Energy Metals Ltd
EMH	European Metals Holdings Limited
EMKT	Vaneck Vectors Msci Multifactor Emerging Markets E
EML	Emerchants Limited
EMMG	EMMG
EMN	Euro Manganese Inc
EMP	Emperor Mines Ltd
EMPO	EMPO
EMR	Emerald Oil & Gas NL
EMS	Eastland Medical Systems Ltd
EMT	Emetals Limited
EMTO	Emetals Limited
EMU	EMU Nickel NL
EMV	Emvision Medical Devices Limited
EMXC	EMXC
ENL	Eagle Nickel Ltd
ENN	Elanor Investors Group
ENR	Encounter Resources Ltd
ENT	
ENV	Envestra Ltd
ENVO	ENVO
ENX	Enegex Nl
EOF	Ecofibre Limited
EOL	Energy One Ltd
EOS	Electro Optic Systems Holdings Ltd
EP1	E&p Financial Group Limited
EPM	Eclipse Metals Limited.
EPMOA	Eclipse Metals Limited.
EPN	Epsilon Healthcare Limited
EPY	E-Pay Asia Ltd
EQE	Equus Mining Limited
EQN	Equinox Minerals Ltd (Canada CHESS)
EQR	Equinox Resources Nl
EQS	Equs
EQT	Equity Trustees Ltd
EQX	Eqitx Ltd
ERA	Energy Resources of Australia Ltd
ERD	Exalt Resources Limited
ERG	ERG Ltd
ERL	Empire Resources Ltd
ERM	Emmerson Resources Ltd
ERTH	ERTH
ERW	Errawarra Resources Ltd
ESK	Etherstack Plc
ESPO	ESPO
ESR	Estrella Resources Limited
ESROB	ESROB
ETM	Energy Transition Minerals Ltd
ETPMAG	Etfs Physical Silver
ETPMPD	Etfs Physical Palladium
ETPMPM	Etfs Physical Pm Basket
ETPMPT	Etfs Physical Platinum
ETR	ETRADE Australia Ltd
ETRO	ETRO
EUR	Euraust Ltd
EURO	EURO
EUROB	European Lithium Limited
EV1	Evolution Energy Minerals Limited
EVE	Energy Ventures Ltd
EVG	Envirogold Ltd
EVN	Evolution Mining Limited
EVNKOA	Evolution Mining Limited
EVNKOB	Evolution Mining Limited
EVNKOC	Evolution Mining Limited
EVNKOD	Evolution Mining Limited
EVNKOP	Evolution Mining Limited
EVNKOR	Evolution Mining Limited
EVO	Evolve Education Group Limited
EVR	Endeavour Mining Corporation
EVRO	EVRO
EVROA	EVROA
EVS	Envirosuite Limited
EVT	Event Hospitality And Entertainment Ltd
EVZ	Envirozel Ltd
EWC	Energy World Corporation Ltd
EX20	Betashares Australian Ex-20 Portfolio Diversifier
EXL	Excel Coal Ltd
EXLO	EXLO
EXP	Experience Co Limited
EXR	Elixir Petroleum Ltd
EXROB	EXROB
EXT	Extract Resources Ltd
EXTOD	EXTOD
EYE	Eagle Eye Metals Ltd
EZL	Euroz Ltd
EZZ	Ezz Life Science Holdings Limited
F100	F100
FAIR	Betashares Australian Sustainability Leaders
FAL	Falcon Metals Ltd
FANG	FANG
FAR	First Australian Resources Ltd
FATP	FATP
FAU	First Au Limited
FAUO	First Au Limited
FBM	Future Battery Minerals Limited
FBR	Fastbrick Robotics Ltd
FBU	Fletcher Building Ltd
FBUKOA	Fletcher Building Limited
FBUKOP	Fletcher Building Limited
FBUKOS	Fletcher Building Limited
FCAP	FCAP
FCG	Frontier Capital Group Limited
FCL	Futuris Corporation Ltd
FCT	Firstwave Cloud Technology Limited
FDR	Federation Group Ltd
FDV	Frontier Digital Ventures Limited
FEG	Far East Gold Ltd
FEX	Fenix Resources Ltd
FFF	First Folio Ltd
FFG	Fatfish Internet Group Ltd
FFGO	Fatfish Internet Group Ltd
FFI	FFI Holdings Ltd
FFM	Firefly Metals Ltd
FG1	Flynn Gold Limited
FG1O	FG1O
FGG	Future Generation Global Investment Company Limited
FGH	Foresta Group Holdings Limited
FGL	Foster's Group Ltd
FGR	First Graphite Limited
FGX	Future Generation Investment Fund Limited
FHCO	FHCO
FHE	Frontier Energy Limited
FHNG	FHNG
FHS	Freehill Mining Limited.
FID	Fiducian Group Limited
FIIN	FIIN
FIN	Aii S&p/asx 200 Financials
FL1	First Lithium Limited
FL1O	FL1O
FLC	Fluence Corporation Limited
FLN	Freelancer Limited
FLOT	Vaneck Vectors Australian Floating Rate
FLT	Flight Centre Ltd
FLTKOA	Flight Centre Travel Group Limited
FLTKOB	Flight Centre Travel Group Limited
FLTKOC	Flight Centre Travel Group Limited
FLTKOD	Flight Centre Travel Group Limited
FLTKOQ	Flight Centre Travel Group Limited
FLTKOR	Flight Centre Travel Group Limited
FLX	Felix Resources Ltd
FME	Future Metals Nl
FMG	Fortescue Metals Group Ltd
FMGKOC	Fortescue Metals Group Ltd
FMGKOG	Fortescue Metals Group Ltd
FMGKOH	Fortescue Metals Group Ltd
FMGKOL	Fortescue Metals Group Ltd
FMGKOP	Fortescue Metals Group Ltd
FMGKOS	Fortescue Metals Group Ltd
FMGKOT	Fortescue Metals Group Ltd
FMGKOU	Fortescue Metals Group Ltd
FMGKOZ	Fortescue Metals Group Ltd
FMGMOP	Fortescue Metals Group Ltd
FML	Focus Minerals Ltd
FMR	Fmr Resources Limited
FND	Finders Resources Ltd
FNR	Far Northern Resources Limited
FNX	Finexia Financial Group Limited
FOS	Fos Capital Ltd
FPC	Fat Prophets Global Contrarian Fund Ltd
FPH	Fisher & Paykel Healthcare Corp Ltd
FPHKOA	FPHKOA
FPHKOD	FPHKOD
FPHKOE	Fisher & Paykel Healthcare Corporation Limited
FPP	Fat Prophets Global Property Fund
FPR	Fleetpartners Group Limited
FRAR	FRAR
FRB	Firebird Metals Limited
FRE	Freshtel Holdings Ltd
FRGG	FRGG
FRI	Finbar International Ltd
FRM	Farm Pride Foods Ltd
FRS	Ferraus Ltd
FRSO	Forrestania Resources Limited
FRSOA	FRSOA
FRSOB	FRSOB
FRW	Freightways Group Limited
FRX	Flexiroam Limited
FSA	FSA Group Ltd
FSF	Fonterra Shareholders Fund
FSG	Field Solutions Holdings Limited
FSI	Flagship Investments Limited
FSIGA	FSIGA
FTC	Fintech Chain Limited
FTL	Firetail Resources Limited
FTZ	Fertoz Limited
FUEL	Betashares Global Energy Companies - Currency Hedg
FUTR	FUTR
FWD	Fleetwood Corporation Ltd
FXEKOB	Currency Warrant Aud/eur
FXEKOC	FXEKOC
FXEKOR	FXEKOR
FXEKOS	Currency Warrant Aud/eur
FXEKOT	FXEKOT
FXEKOV	FXEKOV
FXG	Felix Gold Limited
FXGO	FXGO
FXPKOB	FXPKOB
FXPKOC	FXPKOC
FXPKOD	FXPKOD
FXPKOE	FXPKOE
FXPKOF	FXPKOF
FXPKOG	FXPKOG
FXPKOQ	Currency Warrant Aud/gbp
FXPKOR	FXPKOR
FXPKOS	FXPKOS
FXPKOT	FXPKOT
FXPKOV	FXPKOV
FXUKOC	Currency Warrant Aus/usd.
FXUKOJ	FXUKOJ
FXUKOK	FXUKOK
FXUKOL	FXUKOL
FXUKOM	FXUKOM
FXUKOQ	Currency Warrant Aus/usd.
FXUKOR	Currency Warrant Aus/usd.
FXUKOS	Currency Warrant Aus/usd.
FXUKOV	Currency Warrant Aus/usd.
FXUKOW	Currency Warrant Aus/usd.
FXUKOY	Currency Warrant Aus/usd.
FXUKOZ	Currency Warrant Aus/usd.
FXUMOE	FXUMOE
FXUMOP	FXUMOP
FXUMOQ	FXUMOQ
FXUMOW	FXUMOW
FXUQOP	FXUQOP
FXYKOA	FXYKOA
FXYKOC	FXYKOC
FXYKOE	FXYKOE
FXYKOF	FXYKOF
FXYKOG	FXYKOG
FXYKOP	Currency Warrant Aud/jpy
FXYKOQ	FXYKOQ
FXYKOR	FXYKOR
FXYKOS	FXYKOS
FXYKOW	FXYKOW
FXZKOB	FXZKOB
FXZKOF	FXZKOF
FXZKOQ	FXZKOQ
FXZKOR	FXZKOR
FXZKOS	FXZKOS
FXZKOU	FXZKOU
FZR	Fitzroy River Corporation Ltd
G11	G11 Resources Limited
G1A	Galena Mining Limited
G200	G200
G50	Gold 50 Limited
G6M	Group 6 Metals Limited
G88	Golden Mile Resources Ltd
G88OA	G88OA
GAL	Galicia Energy Corporation Ltd
GAP	Gale Pacific Ltd
GAS	GasNet Australia Group
GBE	Globe Uranium Ltd
GBR	G Retail Ltd
GBZ	GBM Resources Ltd
GC1	Glennon Small Companies Limited
GC1PA	GC1PA
GCAP	GCAP
GCI	Gryphon Capital Income Trust
GCM	Garda Capital Group
GCO2	GCO2
GCR	Golden Cross Resources Ltd
GDA	Gondwana Resources Ltd
GDC	Global Data Centre Group
GDF	Garda Diversified Property Fund
GDG	Generation Development Group Limited
GDI	Gdi Property Group
GDM	Goldstream Mining NL
GDX	Vaneck Vectors Gold Miners
GEAR	Betashares Geared Australian Equity
GED	Golden Deeps Ltd
GEM	G8 Education Limited
GEMKOC	G8 Education Limited
GEN	Genesis Research & Devlpmnt Corp Ltd
GES	Genesis Resources Limited
GFL	Global Masters Fund Ltd
GFLGA	GFLGA
GGAB	GGAB
GGE	Grand Gulf Energy Ltd
GGEO	Grand Gulf Energy Limited
GGEOA	GGEOA
GGX	Gas2Grid Ltd
GHHF	GHHF
GHY	Gold Hydrogen Limited
GIB	Gibb River Diamonds Limited
GL1	Global Lithium Resources Limited
GLA	Gladiator Resources Ltd
GLB	Globe International Ltd
GLDN	GLDN
GLE	GLG Corp Ltd
GLH	Global Health Ltd
GLIN	Amp Global Infrastructure Securities (unhedged)
GLL	Galilee Energy Limited
GLN	Gleneagle Gold Ltd
GLNOB	GLNOB
GLOB	GLOB
GLPR	GLPR
GMD	Genesis Minerals Ltd
GMG	Goodman Group
GMGKOA	Goodman Group
GMGKOB	Goodman Group
GML	Gateway Mining NL
GMN	Gold Mountain Limited
GMNO	GMNO
GMNOC	GMNOC
GMTL	GMTL
GNC	GrainCorp Ltd
GNCKOB	Graincorp Limited
GNCKOD	Graincorp Limited
GNCKOE	Graincorp Limited
GNCKOF	Graincorp Limited
GNCKOG	GNCKOG
GNCKOP	GNCKOP
GNCKOQ	GNCKOQ
GNCKOR	GNCKOR
GNE	Genesis Energy Limited
GNG	Gr Engineering Services Limited
GNM	Gujarat NRE Minerals Ltd
GNMOC	GNMOC
GNP	Genusplus Group Ltd
GNX	Genex Power Limited
GOAT	GOAT
GOLD	Etfs Physical Gold
GOR	Gold Road Resources Limited
GOVT	Spdr??s&p?/asx Australian Government Bond Fund
GOW	Gowing Bros Ltd
GOZ	Growthpoint Properties Australia
GPEQ	GPEQ
GPR	Geopacific Resources NL
GPT	General Property Trust
GPTKOA	Gpt Group
GPTKOB	Gpt Group
GPTKOC	Gpt Group
GPTKOE	GPTKOE
GPTKOP	Gpt Group
GPTKOQ	Gpt Group
GPTKOR	Gpt Group
GQG	Gqg Partners Inc.
GR8	Great Dirt Resources Ltd
GRE	Greentech Metals Limited
GRL	Gawler Resources Ltd
GRLO	GRLO
GRR	Grange Resources Ltd
GRV	Greenvale Mining NL
GRX	Goodrich Resources Ltd
GSBG25	Australian Government Treasury Bonds
GSBG26	Australian Government Treasury Bonds
GSBG27	Australian Government Treasury Bonds
GSBG29	Australian Government Treasury Bonds
GSBG33	Australian Government Treasury Bonds
GSBG37	Australian Government Treasury Bonds
GSBK31	GSBK31
GSBK35	Australian Government Treasury Bonds
GSBK39	Australian Government Treasury Bonds
GSBK51	GSBK51
GSBK54	GSBK54
GSBQ26	GSBQ26
GSBU24	GSBU24
GSBU25	GSBU25
GSBU27	Australian Government Treasury Bonds
GSBU28	Australian Government Treasury Bonds
GSBU29	GSBU29
GSBU31	GSBU31
GSBU32	GSBU32
GSBU33	GSBU33
GSIC50	GSIC50
GSIO35	Australian Government Treasury Indexed Bonds
GSIO40	Australian Government Treasury Indexed Bonds
GSIQ25	Australian Government Treasury Indexed Bonds
GSIQ30	Australian Government Treasury Indexed Bonds
GSIU27	Australian Government Treasury Indexed Bonds
GSIU32	GSIU32
GSM	Golden State Mining Limited
GSN	Great Southern Mining Limited
GSS	Genetic Signatures Limited
GT1	Green Technology Metals Limited
GTE	Great Western Exploration Ltd
GTG	Genetic Technologies Ltd
GTH	Gathid Ltd
GTI	Globe Securities Ltd
GTK	Gentrack Group Limited
GTN	GTN Resources Ltd
GTR	GTI Resources Ltd
GTRO	GTRO
GUE	Global Uranium And Enrichment Ltd
GUL	Gullewa Ltd
GVF	Global Value Fund Limited
GW1	Greenwing Resources Ltd
GWA	Gwa Group Limited.
GWAKOB	Gwa Group Limited.
GWAKOQ	Gwa Group Limited.
GWR	Golden West Resources Ltd
GYG	Guzman Y Gomez Limited
H100	H100
H2G	H2G
HACK	Betashares Global Cybersecurity
HAL	Halo Technologies Holdings Ltd
HAR	Haranga Resources Limited
HARO	HARO
HAS	Hastings Rare Metals Ltd
HASO	Hastings Rare Metals Ltd
HAV	Havilah Resources NL
HAW	Hawthorn Resources Ltd
HCD	Huadu City Development Ltd
HCF	H&g High Conviction Limited
HCH	Hot Chili Limited
HCL	Highcom Limited
HCT	Holista Colltech Limited
HCW	Healthco Healthcare And Wellness Reit
HDN	Haddington Resources Ltd
HE8	Helios Energy Ltd
HETH	HETH
HEUR	Betashares Wisdomtree Europe (currency Hedged)
HFR	Highfield Resources Limited
HFY	Hubify Limited
HGBL	HGBL
HGEN	HGEN
HGH	Heartland Group Holdings Limited
HGL	Hudson Investment Group Ltd
HGO	Hillgrove Resources Ltd
HGV	Hygrovest Limited
HHIF	HHIF
HHR	Hartshead Resources Nl
HIO	Hawsons Iron Ltd
HIOO	HIOO
HIQ	Hitiq Limited
HIQO	HIQO
HIT	Hitech Group Australia Ltd
HJPN	Betashares Wisdomtree Japan (currency Hedged)
HJZP	HJZP
HLF	Halo Food Co. Limited
HLI	Hailian International Ltd
HLIKOC	HLIKOC
HLIKOP	HLIKOP
HLIKOQ	HLIKOQ
HLO	Helloworld Limited
HLS	Hillcrest Litigation Services Ltd
HLSKOA	Healius Ltd
HLSKOB	Healius Limited
HLSKOF	Healius Ltd
HLSKOQ	Healius Ltd
HLSKOR	Healius Ltd
HLSKOS	Healius Ltd
HLSKOT	Healius Ltd
HLTH	HLTH
HLX	Helix Resources Ltd
HLXO	HLXO
HM1	Hearts And Minds Investments Limited
HMC	Hydromet Corporation Ltd
HMCO	Hydromet Corporation Ltd
HMD	Heramed Limited
HMG	Hamelin Gold Limited
HMI	Harvest Minerals Ltd
HMX	Hammer Metals Limited
HMY	Harmoney Corp Limited
HNDQ	HNDQ
HNG	HGL Ltd
HOR	Horseshoe Metals Limited
HPC	The Hydration Pharmaceuticals Company Limited
HPG	Hipages Group Holdings Ltd
HPI	Hotel Property Investments
HPP	Health And Plant Protein Group Limited
HPR	High Peak Royalties Limited
HQLT	HQLT
HRE	Heavy Rare Earths Limited
HRN	Horizon Gold Limited
HRZ	Horizon Energy Investment Group
HRZOB	Horizon Minerals Limited
HSN	Hansen Technologies Ltd
HT8	Harris Technology Group Limited
HTA	Hutchison Telecommunications (Aust)
HTG	Harvest Technology Group Ltd
HTM	Heritage Gold NZ Ltd
HTMO	HTMO
HUB	Hub24 Limited
HUBKOA	HUBKOA
HUBKOB	HUBKOB
HUBKOP	HUBKOP
HUM	Humanis Group Limited
HVLU	HVLU
HVN	Harvey Norman Holdings Ltd
HVNKOB	Harvey Norman Holdings Limited
HVNKOC	Harvey Norman Holdings Limited
HVNKOD	Harvey Norman Holdings Limited
HVNKOE	Harvey Norman Holdings Limited
HVNKOQ	Harvey Norman Holdings Limited
HVNKOW	Harvey Norman Holdings Limited
HVST	Betashares Australian Dividend Harvester Fund (man
HVY	Heavy Minerals Limited
HXG	Hexagon Resources Limited
HXL	Hexima Ltd
HYD	Hydrix Limited
HYGG	HYGG
HYT	Hyterra Ltd
HYTO	HYTO
HYTOA	HYTOA
HZN	Horizon Oil Ltd
HZR	Hazer Group Limited
HZRO	Hazer Group Limited
I88	Infini Resources Limited
IAA	Ishares Asia 50
IAF	Ishares Core Composite Bond
IAG	Insurance Australia Group Ltd
IAGKOA	Insurance Australia Group Limited
IAGKOB	Insurance Australia Group Limited
IAGKOD	Insurance Australia Group Limited
IAGKOQ	Insurance Australia Group Limited
IAGKOT	Insurance Australia Group Limited
IAGPE	IAGPE
IAGPF	IAGPF
IAM	Intiger Group Limited
IAMOB	IAMOB
IBAL	IBAL
IBC	Ironbark Capital Ltd
IBG	Ironbark Gold Ltd
IBGO	Ironbark Zinc Ltd
IBX	Imagion Biosystems Limited
ICE	ICE Corporation Ltd
ICG	Inca Minerals Limited
ICGOD	ICGOD
ICGOE	ICGOE
ICGOF	ICGOF
ICI	Icandy Interactive Limited
ICL	International Coal Holdings Limited
ICLO	ICLO
ICN	Icon Energy Ltd
ICOR	ICOR
ICR	Intelicare Holdings Limited
ICRO	ICRO
ICU	Isentric Limited
ID8	Identitii Limited
ID8O	ID8O
IDA	Indiana Resources Limited
IDT	Institute of Drug Technology Aust
IDX	Indexshares Fund The
IEAT	IEAT
IEC	Intra Energy Corporation Limited
IEL	Idp Education Limited
IELKOA	IELKOA
IELKOP	Idp Education Limited
IELKOQ	Idp Education Limited
IELKOR	IELKOR
IEM	Ishares Msci Emerging Markets
IEQ	International Equities Corp Ltd
IESG	IESG
IEU	Ishares Europe
IFL	IOOF Holdings Ltd
IFLKOA	Ioof Holdings Limited
IFLKOD	Ioof Holdings Limited
IFLKOP	Ioof Holdings Limited
IFLKOQ	Ioof Holdings Limited
IFM	Infomedia Ltd
IFRA	Vaneck Vectors Ftse Global Infrastructure (hedged)
IFT	Infratil Limited.
IG6	International Graphite Limited
IGB	Ishares Treasury
IGL	International Goldfields Ltd
IGN	Ignite Limited
IGO	Independence Group NL
IGOKOA	Independence Group Nl
IGOKOC	Independence Group Nl
IGOKOD	Independence Group Nl
IGOKOP	Independence Group Nl
IGOKOQ	Independence Group Nl
IGOKOR	Independence Group Nl
IGRO	IGRO
IHCB	Ishares Core Global Corporate Bond (aud Hedged)
IHD	Ishares S&p/asx Dividend Opportunities
IHEB	Ishares J.p. Morgan Usd Emerging Markets Bond (aud
IHOO	Ishares Global 100 Aud Hedged
IHWL	Ishares Core Msci World All Cap (aud Hedged)?
IIGF	IIGF
IIQ	Inoviq Ltd
IIQO	IIQO
IJH	Ishares Core S&p Mid-cap
IJP	Ishares Msci Japan
IJR	Ishares Core S&p Small-cap
IKE	Ikegps Group Limited
IKO	Ishares Msci South Korea Capped
ILA	Island Pharmaceuticals Limited
ILAO	ILAO
ILB	Ishares Government Inflation
ILC	Ishares S&p/asx 20
ILT	Iltani Resources Limited.
ILU	Iluka Resources Ltd
ILUKOA	Iluka Resources Limited
ILUKOB	Iluka Resources Limited
ILUKOC	Iluka Resources Limited
ILUKOE	Iluka Resources Limited
ILUKOP	Iluka Resources Limited
ILUKOQ	Iluka Resources Limited
ILUKOT	Iluka Resources Limited
ILUKOU	Iluka Resources Limited
IMA	Image Resources NL
IMB	Intelligent Monitoring Group Limited
IMC	
IMD	Imdex Ltd
IME	Imexhs Limited
IMI	IM Medical Ltd
IMLC	IMLC
IMM	Immutep Limited
IMPQ	IMPQ
IMR	Imricor Medical Systems Inc.
IMU	Imugene Ltd
IMUOD	IMUOD
IMUOE	IMUOE
INA	Ingenia Communities Group
INCM	Betashares Global Income Leaders
IND	Indus Energy Nl
INF	Infosentials
ING	Inghams Group Limited
INGKOC	Inghams Group Limited
INGKOD	INGKOD
INGKOP	Inghams Group Limited
INGKOQ	Inghams Group Limited
INGKOS	INGKOS
INGKOT	INGKOT
INIF	INIF
INL	Intec Ltd
INP	Innamincka Petroleum Ltd
INR	India Nre Minerals Ltd
INV	InvestorInfo Ltd
IOD	Iodm Limited
ION	ION Ltd
IOO	Ishares Global 100
IOZ	Ishares Core S&p/asx 200
IPB	Ipb Petroleum Limited
IPC	Imperial Pacific Limited
IPD	Impedimed Ltd
IPG	Investa Property Group
IPH	Ipoh
IPHKOA	Iph Limited
IPHKOB	Iph Limited
IPHKOD	Iph Limited
IPL	Incitec Pivot Ltd
IPLKOA	Incitec Pivot Limited
IPLKOB	Incitec Pivot Limited
IPLKOD	Incitec Pivot Limited
IPLKOE	Incitec Pivot Limited
IPLKOF	Incitec Pivot Limited
IPLKOG	Incitec Pivot Limited
IPLKOH	Incitec Pivot Limited
IPLKOP	Incitec Pivot Limited
IPLKOQ	Incitec Pivot Limited
IPLKOR	Incitec Pivot Limited
IPLKOT	Incitec Pivot Limited
IPLKOU	Incitec Pivot Limited
IPT	Impact Minerals Ltd
IPTO	Impact Minerals Limited
IPX	Intrapower Ltd
IR1	Iris Metals Limited
IRD	Iron Road Ltd
IRE	IRESS Market Technology Ltd
IREKOA	Iress Limited
IREKOB	Iress Limited
IREKOQ	Iress Limited
IREKOR	Iress Limited
IRI	Integrated Research Ltd
IRX	Inhalerx Limited
IS3	I Synergy Group Limited
ISEC	Ishares Enhanced Cash
ISLM	ISLM
ISO	Ishares S&p/asx Small Ordinaries
ITEK	ITEK
ITM	Itech Minerals Ltd
IUSG	IUSG
IVE	Ishares Msci Eafe
IVR	IVR
IVRO	Investigator Resources Ltd
IVT	Inventis Ltd
IVV	Ishares Core S&p 500
IVX	Invion Limited
IVZ	Invictus Energy Ltd
IVZOA	IVZOA
IXC	Invex Therapeutics Ltd
IXI	Ishares Global Consumer Staples
IXJ	Ishares Global Healthcare
IXR	IMX Resoures NL
IXU	Ixup Limited
IZZ	Ishares China Large-cap
