Symbol	Description
AMCKOG	Amcor Plc
AMCKOP	Amcor Limited
AMCKOS	Amcor Limited
AMD	Arrow Minerals Ltd
AME	Austmet Resources Ltd
AMH	AMCIL Ltd
AMI	Aurelia Metals Limited
AML	AMRAD Corporation Ltd
AMM	Amcom Telecommunications Ltd
AMN	Agrimin Limited
AMO	Ambertech Ltd
AMP	AMP Ltd
AMPKOA	Amp Limited
AMPKOB	Amp Limited
AMPKOC	Amp Limited
AMPKOD	Amp Limited
AMPKOG	Amp Limited
AMPKOR	Amp Limited
AMPKOS	Amp Limited
AMPKOT	Amp Limited
AMPKOV	Amp Limited
AMPLOA	Amp Limited
AMPPB	Amp Limited
AMS	Allied Mining & Processing Nl
AMSO	AMSO
AMT	Advanced Surgical Design & Manufacture Ltd
AMX	Ampella Mining Ltd
AN1	Anagenics Limited
AN3PH	AN3PH
AN3PI	AN3PI
AN3PJ	AN3PJ
AN3PK	AN3PK
AN3PL	AN3PL
AND	Andean Resources Ltd
ANG	Austin Engineering Ltd
ANL	Anaconda Nickel Nl
ANN	Ansell Ltd
ANNKOB	Ansell Limited
ANNKOP	Ansell Limited
ANNKOQ	Ansell Limited
ANO	Advanced Nanotechnology Ltd
ANR	Anatara Lifesciences Ltd
ANX	Anadis Ltd
ANZ	Australia & NZ Banking Group Ltd
ANZKOA	Australia And New Zealand Banking Group Limited
ANZKOB	Australia And New Zealand Banking Group Limited
ANZKOC	Australia And New Zealand Banking Group Limited
ANZKOD	Australia And New Zealand Banking Group Limited
ANZKOE	Australia And New Zealand Banking Group Limited
ANZKOG	Australia And New Zealand Banking Group Limited
ANZKOH	Australia And New Zealand Banking Group Limited
ANZKOI	Australia And New Zealand Banking Group Limited
ANZKOM	Australia And New Zealand Banking Group Limited
ANZKOR	Australia And New Zealand Banking Group Limited
ANZKOS	Australia And New Zealand Banking Group Limited
ANZKOT	Australia And New Zealand Banking Group Limited
ANZKOU	Australia And New Zealand Banking Group Limited
ANZKOV	Australia And New Zealand Banking Group Limited
ANZKOW	Australia And New Zealand Banking Group Limited
ANZMOB	Australia And New Zealand Banking Group Limited
ANZMOU	ANZMOU
AO1	Assetowl Limited
AOA	
AOF	AMP Office Trust
AON	Apollo Minerals Ltd
AOV	Amotiv Limited
AOVKOA	AOVKOA
APA	Australian Pipeline Trust
APAKOA	Apa Group
APAKOE	APAKOE
APAKOQ	Apa Group
APAKOR	Apa Group
APC	Australian Potash Limited
APCO	APCO
APE	AP Eagers Holdings Ltd
APL	Australian Plantation Timber Ltd
APM	Australian Institute of Prop Managmnt
APS	Allup Silica Limited
APW	Aims Property Securities Fund
