Symbol	Description
F6LG	6-Month Mcap Lows Russell 1000
F6LH	6-Month Mcap Lows Price GT $10
F6LI	6-Month Mcap Lows S&P 500 Industrials
F6LJ	6-Month Mcap Lows S&P 500 Utilities
F6LK	6-Month Mcap Lows S&P 500 Info Tech
F6LL	6-Month Mcap Lows Price Lt $10
F6LM	6-Month Mcap Lows S&P 500 Consumer Staples
F6LN	6-Month Mcap Lows NYSE
F6LO	6-Month Mcap Lows S&P 100
F6LP	6-Month Mcap Lows S&P 500
F6LQ	6-Month Mcap Lows Nasdaq
F6LR	6-Month Mcap Lows S&P 500 Real Estate
F6LS	6-Month Mcap Lows S&P 500 Health Care
F6LT	6-Month Mcap Lows S&P 500 Energies
F6LU	6-Month Mcap Lows Volume Lt 100K
F6LV	6-Month Mcap Lows Volume GT 100K
F6LW	6-Month Mcap Lows S&P 500 Telecom Srvs
F6LX	6-Month Mcap Lows Overall
F6LY	6-Month Mcap Lows S&P 500 Consumer Disc
F6LZ	6-Month Mcap Lows Russell 3000
FADA	52-Week Mcap Hi-Lo AMEX
FADB	52-Week Mcap Hi-Lo S&P 500 Materials
FADC	52-Week Mcap Hi-Lo Russell 2000
FADF	52-Week Mcap Hi-Lo  S&P 500 Financials
FADG	52-Week Mcap Hi-Lo Russell 1000
FADH	52-Week Mcap Hi-Lo Price GT $10
FADI	52-Week Mcap Hi-Lo S&P 500 Industrials
FADK	52-Week Mcap Hi-Lo S&P 500 Info Tech
FADL	52-Week Mcap Hi-Lo Price Lt $10
FADM	52-Week Mcap Hi-Lo S&P 500 Consumer Staples
FADN	52-Week Mcap Hi-Lo NYSE
FADO	52-Week Mcap Hi-Lo S&P 100
FADP	52-Week Mcap Hi-Lo S&P 500
FADQ	52-Week Mcap Hi-Lo Nasdaq
FADS	52-Week Mcap Hi-Lo S&P 500 Health Care
FADT	52-Week Mcap Hi-Lo S&P 500 Energies
FADU	52-Week Mcap Hi-Lo Volume Lt 100K
FADV	52-Week Mcap Hi-Lo Volume GT 100K
FADX	52-Week Mcap Hi-Lo Overall
FADY	52-Week Mcap Hi-Lo S&P 500 Consumer Disc
FADZ	52-Week Mcap Hi-Lo Russell 3000
FAHA	52-Week Mcap Highs AMEX
FAHB	52-Week Mcap Highs S&P 500 Materials
FAHC	52-Week Mcap Highs Russell 2000
FAHF	52-Week Mcap Highs S&P 500 Financials
FAHG	52-Week Mcap Highs Russell 1000
FAHH	52-Week Mcap Highs Price GT $10
FAHI	52-Week Mcap Highs S&P 500 Industrials
FAHJ	52-Week Mcap Highs S&P 500 Utilities
FAHK	52-Week Mcap Highs S&P 500 Info Tech
FAHL	52-Week Mcap Highs Price Lt $10
FAHM	52-Week Mcap Highs S&P 500 Consumer Staples
FAHN	52-Week Mcap Highs NYSE
FAHO	52-Week Mcap Highs S&P 100
FAHP	52-Week Mcap Highs S&P 500
FAHQ	52-Week Mcap Highs Nasdaq
FAHR	52-Week Mcap Highs S&P 500 Real Estate
FAHS	52-Week Mcap Highs S&P 500 Health Care
FAHT	52-Week Mcap Highs S&P 500 Energies
FAHU	52-Week Mcap Highs Volume Lt 100K
FAHV	52-Week Mcap Highs Volume GT 100K
FAHW	52-Week Mcap Highs S&P 500 Telecom Srvs
FAHX	52-Week Mcap Highs Overall
FAHY	52-Week Mcap Highs S&P 500 Consumer Disc
FAHZ	52-Week Mcap Highs Russell 3000
FALA	52-Week Mcap Lows AMEX
FALB	52-Week Mcap Lows S&P 500 Materials
FALC	52-Week Mcap Lows Russell 2000
FALF	52-Week Mcap Lows S&P 500 Financials
FALG	52-Week Mcap Lows Russell 1000
FALH	52-Week Mcap Lows Price GT $10
FALI	52-Week Mcap Lows S&P 500 Industrials
FALK	52-Week Mcap Lows S&P  500 Info Tech
FALL	52-Week Mcap Lows Price Lt $10
FALM	52-Week Mcap Lows S&P 500 Consumer Staples
FALN	52-Week Mcap Lows NYSE
FALO	52-Week Mcap Lows S&P 100
FALP	52-Week Mcap Lows S&P 500
FALQ	52-Week Mcap Lows Nasdaq
FALS	52-Week Mcap Lows S&P 500 Health Care
FALT	52-Week Mcap Lows S&P 500 Energies
FALU	52-Week Mcap Lows Volume Lt 100K
FALV	52-Week Mcap Lows Volume GT 100K
FALX	52-Week Mcap Lows Overall
FALY	52-Week Mcap Lows S&P 500 Consumer Disc
FALZ	52-Week Mcap Lows Russell 3000
FYDA	YTD Mcap Hi-Lo AMEX
FYDB	YTD Mcap Hi-Lo S&P 500 Materials
FYDC	YTD Mcap Hi-Lo Russell 2000
FYDF	YTD Mcap Hi-Lo S&P 500 Financials
FYDG	YTD Mcap Hi-Lo Russell 1000
FYDH	YTD Mcap Hi-Lo Price GT $10
FYDI	YTD Mcap Hi-Lo S&P 500 Industrials
FYDJ	YTD Mcap Hi-Lo S&P 500 Utilities
FYDK	YTD Mcap Hi-Lo S&P 500 Info Tech
FYDL	YTD Mcap Hi-Lo Price Lt $10
FYDM	YTD Mcap Hi-Lo S&P 500 Consumer Staples
FYDN	YTD Mcap Hi-Lo NYSE
FYDO	YTD Mcap Hi-Lo S&P 100
FYDP	YTD Mcap Hi-Lo S&P 500
FYDQ	YTD Mcap Hi-Lo Nasdaq
FYDR	YTD Mcap Hi-Lo S&P 500 Real Estate
FYDS	YTD Mcap Hi-Lo S&P 500 Health Care
FYDT	YTD Mcap Hi-Lo S&P 500 Energies
FYDU	YTD Mcap Hi-Lo Volume Lt 100K
FYDV	YTD Mcap Hi-Lo Volume GT 100K
FYDW	YTD Mcap Hi-Lo S&P 500 Telecom Srvs
FYDX	YTD Mcap Hi-Lo Overall
FYDY	YTD Mcap Hi-Lo S&P 500 Consumer Disc
FYDZ	YTD Mcap Hi-Lo Russell 3000
FYHA	YTD Mcap Highs AMEX
FYHB	YTD Mcap Highs S&P 500 Materials
FYHC	YTD Mcap Highs Russell 2000
FYHF	YTD Mcap Highs S&P 500 Financials
FYHG	YTD Mcap Highs Russell 1000
FYHH	YTD Mcap Highs Price GT $10
FYHI	YTD Mcap Highs S&P 500 Industrials
FYHJ	YTD Mcap Highs S&P 500 Utilities
FYHK	YTD Mcap Highs S&P 500 Info Tech
FYHL	YTD Mcap Highs Price Lt $10
FYHM	YTD Mcap Highs S&P 500 Consumer Staples
FYHN	YTD Mcap Highs NYSE
FYHO	YTD Mcap Highs S&P 100
FYHP	YTD Mcap Highs S&P 500
FYHQ	YTD Mcap Highs Nasdaq
FYHR	YTD Mcap Highs S&P 500 Real Estate
FYHS	YTD Mcap Highs S&P 500 Health Care
FYHT	YTD Mcap Highs S&P 500 Energies
FYHU	YTD Mcap Highs Volume Lt 100K
FYHV	YTD Mcap Highs Volume GT 100K
FYHW	YTD Mcap Highs S&P 500 Telecom Srvs
FYHX	YTD Mcap Highs Overall
FYHY	YTD Mcap Highs S&P 500 Consumer Disc
FYHZ	YTD Mcap Highs Russell 3000
FYLA	YTD Mcap Lows AMEX
FYLB	YTD Mcap Lows S&P 500 Materials
FYLC	YTD Mcap Lows Russell 2000
FYLF	YTD Mcap Lows S&P 500 Financials
FYLG	YTD Mcap Lows Russell 1000
FYLH	YTD Mcap Lows Price GT $10
FYLI	YTD Mcap Lows S&P 500 Industrials
FYLJ	YTD Mcap Lows S&P 500 Utilities
FYLK	YTD Mcap Lows S&P 500 Info Tech
FYLL	YTD Mcap Lows Price Lt $10
FYLM	YTD Mcap Lows S&P 500 Consumer Staples
FYLN	YTD Mcap Lows NYSE
FYLO	YTD Mcap Lows S&P 100
FYLP	YTD Mcap Lows S&P 500
FYLQ	YTD Mcap Lows Nasdaq
FYLR	YTD Mcap Lows S&P 500 Real Estate
FYLS	YTD Mcap Lows S&P 500 Health Care
FYLT	YTD Mcap Lows S&P 500 Energies
FYLU	YTD Mcap Lows Volume Lt 100K
FYLV	YTD Mcap Lows Volume GT 100K
FYLW	YTD Mcap Lows S&P 500 Telecom Srvs
FYLX	YTD Mcap Lows Overall
FYLY	YTD Mcap Lows S&P 500 Consumer Disc
FYLZ	YTD Mcap Lows Russell 3000
G1DA	1-Month Mcap Hi-Lo S&P 600
G1DB	1-Month Mcap Hi-Lo S&P 400
G1DC	1-Month Mcap Hi-Lo Nasdaq 100
G1DD	1-Month Mcap Hi-Lo Dow Indu
G1DE	1-Month Mcap Hi-Lo Dow Comp
G1DF	1-Month Mcap Hi-Lo Dow Tran
G1DG	1-Month Mcap Hi-Lo Dow Util
G1DO	1-Month Mcap Hi-Lo Nasdaq Comp
G1DV	1-Month Mcap Hi-Lo S&P ESG
G1DY	1-Month Mcap Hi-Lo S&P 500 Value
G1DZ	1-Month Mcap Hi-Lo S&P 500 Growth
G1HA	1-Month Mcap Highs S&P 600
G1HB	1-Month Mcap Highs S&P 400
G1HC	1-Month Mcap Highs Nasdaq 100
G1HD	1-Month Mcap Highs Dow Indu
G1HE	1-Month Mcap Highs Dow Comp
G1HF	1-Month Mcap Highs Dow Tran
G1HG	1-Month Mcap Highs Dow Util
G1HO	1-Month Mcap Highs Nasdaq Comp
G1HV	1-Month Mcap Highs S&P ESG
G1HY	1-Month Mcap Highs S&P 500 Value
G1HZ	1-Month Mcap Highs S&P 500 Growth
G1LA	1-Month Mcap Lows S&P 600
G1LB	1-Month Mcap Lows S&P 400
G1LC	1-Month Mcap Lows Nasdaq 100
G1LD	1-Month Mcap Lows Dow Indu
G1LE	1-Month Mcap Lows Dow Comp
G1LF	1-Month Mcap Lows Dow Tran
G1LG	1-Month Mcap Lows Dow Util
G1LO	1-Month Mcap Lows Nasdaq Comp
G1LV	1-Month Mcap Lows S&P ESG
G1LY	1-Month Mcap Lows S&P 500 Value
G1LZ	1-Month Mcap Lows S&P 500 Growth
G3DA	3-Month Mcap Hi-Lo S&P 600
G3DB	3-Month Mcap Hi-Lo S&P 400
G3DC	3-Month Mcap Hi-Lo Nasdaq 100
G3DD	3-Month Mcap Hi-Lo Dow Indu
G3DE	3-Month Mcap Hi-Lo Dow Comp
G3DF	3-Month Mcap Hi-Lo Dow Tran
G3DG	3-Month Mcap Hi-Lo Dow Util
G3DO	3-Month Mcap Hi-Lo Nasdaq Comp
G3DV	3-Month Mcap Hi-Lo S&P ESG
G3DY	3-Month Mcap Hi-Lo S&P 500 Value
G3DZ	3-Month Mcap Hi-Lo S&P 500 Growth
G3HA	3-Month Mcap Highs S&P 600
G3HB	3-Month Mcap Highs S&P 400
G3HC	3-Month Mcap Highs Nasdaq 100
G3HD	3-Month Mcap Highs Dow Indu
G3HE	3-Month Mcap Highs Dow Comp
G3HF	3-Month Mcap Highs Dow Tran
G3HG	3-Month Mcap Highs Dow Util
G3HO	3-Month Mcap Highs Nasdaq Comp
G3HV	3-Month Mcap Highs S&P ESG
G3HY	3-Month Mcap Highs S&P 500 Value
G3HZ	3-Month Mcap Highs S&P 500 Growth
G3LA	3-Month Mcap Lows S&P 600
G3LB	3-Month Mcap Lows S&P 400
G3LC	3-Month Mcap Lows Nasdaq 100
G3LD	3-Month Mcap Lows Dow Indu
G3LE	3-Month Mcap Lows Dow Comp
G3LF	3-Month Mcap Lows Dow Tran
G3LG	3-Month Mcap Lows Dow Util
G3LO	3-Month Mcap Lows Nasdaq Comp
G3LV	3-Month Mcap Lows S&P ESG
G3LY	3-Month Mcap Lows S&P 500 Value
G3LZ	3-Month Mcap Lows S&P 500 Growth
G5DA	5-Day Mcap Hi-Lo S&P 600
G5DB	5-Day Mcap Hi-Lo S&P 400
G5DC	5-Day Mcap Hi-Lo Nasdaq 100
G5DD	5-Day Mcap Hi-Lo Dow Indu
G5DE	5-Day Mcap Hi-Lo Dow Comp
G5DF	5-Day Mcap Hi-Lo Dow Tran
G5DG	5-Day Mcap Hi-Lo Dow Util
G5DO	5-Day Mcap Hi-Lo Nasdaq Comp
G5DV	5-Day Mcap Hi-Lo S&P ESG
G5DY	5-Day Mcap Hi-Lo S&P 500 Value
G5DZ	5-Day Mcap Hi-Lo S&P 500 Growth
G5HA	5-Day Mcap Highs S&P 600
G5HB	5-Day Mcap Highs S&P 400
G5HC	5-Day Mcap Highs Nasdaq 100
G5HD	5-Day Mcap Highs Dow Indu
G5HE	5-Day Mcap Highs Dow Comp
G5HF	5-Day Mcap Highs Dow Tran
G5HG	5-Day Mcap Highs Dow Util
G5HO	5-Day Mcap Highs Nasdaq Comp
G5HV	5-Day Mcap Highs S&P ESG
G5HY	5-Day Mcap Highs S&P 500 Value
G5HZ	5-Day Mcap Highs S&P 500 Growth
G5LA	5-Day Mcap Lows S&P 600
G5LB	5-Day Mcap Lows S&P 400
G5LC	5-Day Mcap Lows Nasdaq 100
G5LD	5-Day Mcap Lows Dow Indu
G5LE	5-Day Mcap Lows Dow Comp
G5LF	5-Day Mcap Lows Dow Tran
G5LG	5-Day Mcap Lows Dow Util
G5LO	5-Day Mcap Lows Nasdaq Comp
G5LV	5-Day Mcap Lows S&P ESG
G5LY	5-Day Mcap Lows S&P 500 Value
G5LZ	5-Day Mcap Lows S&P 500 Growth
G6DA	6-Month Mcap Hi-Lo S&P 600
G6DB	6-Month Mcap Hi-Lo S&P 400
G6DC	6-Month Mcap Hi-Lo Nasdaq 100
G6DD	6-Month Mcap Hi-Lo Dow Indu
G6DE	6-Month Mcap Hi-Lo Dow Comp
G6DF	6-Month Mcap Hi-Lo Dow Tran
G6DO	6-Month Mcap Hi-Lo Nasdaq Comp
G6DV	6-Month Mcap Hi-Lo S&P ESG
G6DY	6-Month Mcap Hi-Lo S&P 500 Value
G6DZ	6-Month Mcap Hi-Lo S&P 500 Growth
G6HA	6-Month Mcap Highs S&P 600
G6HB	6-Month Mcap Highs S&P 400
G6HC	6-Month Mcap Highs Nasdaq 100
G6HD	6-Month Mcap Highs Dow Indu
G6HE	6-Month Mcap Highs Dow Comp
G6HF	6-Month Mcap Highs Dow Tran
G6HG	6-Month Mcap Highs Dow Util
G6HO	6-Month Mcap Highs Nasdaq Comp
G6HV	6-Month Mcap Highs S&P ESG
G6HY	6-Month Mcap Highs S&P 500 Value
G6HZ	6-Month Mcap Highs S&P 500 Growth
G6LA	6-Month Mcap Lows S&P 600
G6LB	6-Month Mcap Lows S&P 400
G6LC	6-Month Mcap Lows Nasdaq 100
G6LD	6-Month Mcap Lows Dow Indu
G6LE	6-Month Mcap Lows Dow Comp
G6LF	6-Month Mcap Lows Dow Tran
G6LO	6-Month Mcap Lows Nasdaq Comp
G6LV	6-Month Mcap Lows S&P ESG
G6LY	6-Month Mcap Lows S&P 500 Value
G6LZ	6-Month Mcap Lows S&P 500 Growth
GADA	52-Week Mcap Hi-Lo S&P 600
GADB	52-Week Mcap Hi-Lo S&P 400
GADC	52-Week Mcap Hi-Lo Nasdaq 100
GADD	52-Week Mcap Hi-Lo Dow Indu
GADE	52-Week Mcap Hi-Lo Dow Comp
GADF	52-Week Mcap Hi-Lo Dow Tran
GADO	52-Week Mcap Hi-Lo Nasdaq Comp
GADV	52-Week Mcap Hi-Lo S&P ESG
GADY	52-Week Mcap Hi-Lo S&P 500 Value
GADZ	52-Week Mcap Hi-Lo S&P 500 Growth
GAHA	52-Week Mcap Highs S&P 600
GAHB	52-Week Mcap Highs S&P 400
GAHC	52-Week Mcap Highs Nasdaq 100
GAHD	52-Week Mcap Highs Dow Indu
GAHE	52-Week Mcap Highs Dow Comp
GAHF	52-Week Mcap Highs Dow Tran
GAHG	52-Week Mcap Highs Dow Util
GAHO	52-Week Mcap Highs Nasdaq Comp
GAHV	52-Week Mcap Highs S&P ESG
GAHY	52-Week Mcap Highs S&P 500 Value
GAHZ	52-Week Mcap Highs S&P 500 Growth
GALA	52-Week Mcap Lows S&P 600
GALB	52-Week Mcap Lows S&P 400
GALC	52-Week Mcap Lows Nasdaq 100
GALD	52-Week Mcap Lows Dow Indu
GALE	52-Week Mcap Lows Dow Comp
GALF	52-Week Mcap Lows Dow Tran
GALO	52-Week Mcap Lows Nasdaq Comp
GALV	52-Week Mcap Lows S&P ESG
GALY	52-Week Mcap Lows S&P 500 Value
GALZ	52-Week Mcap Lows S&P 500 Growth
GMI	Mkt Vector Gold Min Iopv
GNX	GSCI Spot Return
GYDA	YTD Mcap Hi-Lo S&P 600
GYDB	YTD Mcap Hi-Lo S&P 400
GYDC	YTD Mcap Hi-Lo Nasdaq 100
GYDD	YTD Mcap Hi-Lo Dow Indu
GYDE	YTD Mcap Hi-Lo Dow Comp
GYDF	YTD Mcap Hi-Lo Dow Tran
GYDO	YTD Mcap Hi-Lo Nasdaq Comp
GYDV	YTD Mcap Hi-Lo S&P ESG
GYDY	YTD Mcap Hi-Lo S&P 500 Value
GYDZ	YTD Mcap Hi-Lo S&P 500 Growth
GYHA	YTD Mcap Highs S&P 600
GYHB	YTD Mcap Highs S&P 400
GYHC	YTD Cap Highs Nasdaq 100
GYHD	YTD Mcap Highs Dow Indu
GYHE	YTD Mcap Highs Dow Comp
GYHF	YTD Mcap Highs Dow Tran
GYHG	YTD Mcap Highs Dow Util
GYHO	YTD Mcap Highs Nasdaq Comp
GYHV	YTD Mcap Highs S&P ESG
GYHY	YTD Mcap Highs S&P 500 Value
GYHZ	YTD Mcap Highs S&P 500 Growth
GYLA	YTD Mcap Lows S&P 600
GYLB	YTD Mcap Lows S&P 400
GYLC	YTD Mcap Lows Nasdaq 100
GYLD	YTD Mcap Lows Dow Indu
GYLE	YTD Mcap Lows Dow Comp
GYLF	YTD Mcap Lows Dow Tran
GYLO	YTD Mcap Lows Nasdaq Comp
GYLV	YTD Mcap Lows S&P ESG
GYLY	YTD Mcap Lows S&P 500 Value
GYLZ	YTD Mcap Lows S&P 500 Growth
HGX	Phlx Hsg Sector Index
HIGA	AMEX New Highs
HIGC	CSE New Highs
HIGD	OTC New Highs
HIGE	ETFS New Highs
HIGN	NYSE New Highs
HIGQ	NASD New Highs
HIGS	TSX New Highs
HIGU	OTC US New Highs
HIGV	TSXV New Highs
HLCD	CAD High Low Stocks
HLUS	US High Low Stocks
HSCE	Hang Seng China Enterprises Index
HSI	Hang Seng Index
HUI	AMEX Gold Bugs Index
HVX	Mkt Vector Env Serv Iopv
IDX	S&P 400 Midcap Index
INDS	Nasdaq Industrial
INSR	Nasdaq Inurance
IQX	S&P 500 EQUAL WEIGHT
IQZ	S&P 1000
IVX	S&P 500 Value
IXB	Materials Select Sector Index
IXCO	Nasdaq Computer
IXE	The Energy Select Sector Index
IXF	Nasdaq Financial 100
IXHC	NASDAQ Health Care Index
IXI	Industrial Select Sector Index
IXM	Financial Select Sector Index
IXR	Consumer Staples Select Sector Index
IXTC	Nasdaq Telecommunications
IXU	Utilities Select Sector Index
IXV	Healthcare Select Sector Index
IXY	Consumer Discretionary Select Sector Index
JKSE	Jakarta Composite Index
KDX	KBW Finsec Dividend Yield Index
KIX	KBW Insurance Index
KLSE	Bursa Malaysia Klci Index
KLX	Mkt Vectors Steel Iopv
KPX	KBW Property & Casualty Index
KRX	KBW Regional Banking Index
KSI	Kospi 200 Index
KSIC	Kospi Composite Index
KSX	KBW Capital Markets Index
KYX	KBW Premium Yield Equity REIT Index
LOWA	AMEX New Lows
LOWC	CSE New Highs
LOWD	OTC New Lows
LOWE	ETFS New Highs
LOWN	NYSE New Lows
LOWQ	NASD New Lows
LOWS	TSX New Lows
LOWU	OTC US New Lows
LOWV	TSXV New Lows
M1DA	1-Month Hi-Lo AMEX
M1DB	1-Month Hi-Lo S&P 500 Materials
M1DC	1-Month Hi-Lo Russell 2000
M1DE	1-Month Hi-Lo ETFS
M1DF	1-Month Hi-Lo S&P 500 Financials
M1DG	1-Month Hi-Lo Russell 1000
M1DH	1-Month Hi-Lo Price GT $10
M1DI	1-Month Hi-Lo S&P 500 Industrials
M1DJ	1-Month Hi-Lo S&P 500 Utilities
M1DK	1-Month Hi-Lo S&P 500 Info Tech
M1DL	1-Month Hi-Lo Price Lt $10
M1DM	1-Month Hi-Lo S&P 500 Consumer Staples
M1DN	1-Month Hi-Lo NYSE
M1DO	1-Month Hi-Lo S&P 100
M1DP	1-Month Hi-Lo S&P 500
M1DQ	1-Month Hi-Lo Nasdaq
M1DR	1-Month Hi-Lo S&P 500 Real Estate
M1DS	1-Month Hi-Lo S&P 500 Health Care
M1DT	1-Month Hi-Lo S&P 500 Energies
M1DU	1-Month Hi-Lo Volume Lt 100K
M1DV	1-Month Hi-Lo Volume GT 100K
M1DW	1-Month Hi-Lo S&P 500 Telecom Srvs
M1DX	1-Month Hi-Lo Overall
M1DY	1-Month Hi-Lo S&P 500 Consumer Disc
M1DZ	1-Month Hi-Lo Russell 3000
M1HA	1-Month Highs AMEX
M1HB	1-Month Highs S&P 500 Materials
M1HC	1-Month Highs Russell 2000
M1HE	1-Month Highs ETFS
M1HF	1-Month Highs S&P 500 Financials
M1HG	1-Month Highs Russell 1000
M1HH	1-Month Highs Price GT $10
M1HI	1-Month Highs S&P 500 Industrials
M1HJ	1-Month Highs S&P 500 Utilities
M1HK	1-Month Highs S&P 500 Info Tech
M1HL	1-Month Highs Price Lt $10
M1HM	1-Month Highs S&P 500 Consumer Staples
M1HN	1-Month Highs NYSE
M1HO	1-Month Highs S&P 100
M1HP	1-Month Highs S&P 500
M1HQ	1-Month Highs Nasdaq
M1HR	1-Month Highs S&P 500 Real Estate
M1HS	1-Month Highs S&P 500 Health Care
M1HT	1-Month Highs S&P 500 Energies
M1HU	1-Month Highs Volume Lt 100K
M1HV	1-Month Highs Volume GT 100K
M1HW	1-Month Highs S&P 500 Telecom Srvs
M1HX	1-Month Highs Overall
M1HY	1-Month Highs S&P 500 Consumer Disc
M1HZ	1-Month Highs Russell 3000
M1LA	1-Month Lows AMEX
M1LB	1-Month Lows S&P 500 Materials
M1LC	1-Month Lows Russell 2000
M1LE	1-Month Lows ETFS
M1LF	1-Month Lows S&P 500 Financials
M1LG	1-Month Lows Russell 1000
M1LH	1-Month Lows Price GT $10
M1LI	1-Month Lows S&P 500 Industrials
M1LJ	1-Month Lows S&P 500 Utilities
M1LK	1-Month Lows S&P 500 Info Tech
M1LL	1-Month Lows Price Lt $10
M1LM	1-Month Lows S&P 500 Consumer Staples
M1LN	1-Month Lows NYSE
M1LO	1-Month Lows S&P 100
M1LP	1-Month Lows S&P 500
M1LQ	1-Month Lows Nasdaq
M1LR	1-Month Lows S&P 500 Real Estate
M1LS	1-Month Lows S&P 500 Health Care
M1LT	1-Month Lows S&P 500 Energies
M1LU	1-Month Lows Volume Lt 100K
M1LV	1-Month Lows Volume GT 100K
M1LW	1-Month Lows S&P 500 Telecom Srvs
M1LX	1-Month Lows Overall
M1LY	1-Month Lows S&P 500 Consumer Disc
M1LZ	1-Month Lows Russell 3000
M3DA	3-Month Hi-Lo AMEX
M3DB	3-Month Hi-Lo S&P 500 Materials
M3DC	3-Month Hi-Lo Russell 2000
M3DE	3-Month Hi-Lo ETFS
M3DF	3-Month Hi-Lo S&P 500 Financials
M3DG	3-Month Hi-Lo Russell 1000
M3DH	3-Month Hi-Lo Price GT $10
M3DI	3-Month Hi-Lo S&P 500 Industrials
M3DJ	3-Month Hi-Lo S&P 500 Utilities
M3DK	3-Month Hi-Lo S&P 500 Info Tech
M3DL	3-Month Hi-Lo Price Lt $10
M3DM	3-Month Hi-Lo S&P 500 Consumer Staples
M3DN	3-Month Hi-Lo NYSE
M3DO	3-Month Hi-Lo S&P 100
M3DP	3-Month Hi-Lo S&P 500
M3DQ	3-Month Hi-Lo Nasdaq
M3DR	3-Month Hi-Lo S&P 500 Real Estate
M3DS	3-Month Hi-Lo S&P 500 Health Care
M3DT	3-Month Hi-Lo S&P 500 Energies
M3DU	3-Month Hi-Lo Volume Lt 100K
M3DV	3-Month Hi-Lo Volume GT 100K
M3DW	3-Month Hi-Lo S&P 500 Telecom Srvs
M3DX	3-Month Hi-Lo Overall
M3DY	3-Month Hi-Lo S&P 500 Consumer Disc
M3DZ	3-Month Hi-Lo Russell 3000
M3HA	3-Month Highs AMEX
M3HB	3-Month Highs S&P 500 Materials
M3HC	3-Month Highs Russell 2000
M3HE	3-Month Highs ETFS
M3HF	3-Month Highs S&P 500 Financials
M3HG	3-Month Highs Russell 1000
M3HH	3-Month Highs Price GT $10
M3HI	3-Month Highs S&P 500 Industrials
M3HJ	3-Month Highs S&P 500 Utilities
M3HK	3-Month Highs S&P 500 Info Tech
M3HL	3-Month Highs Price Lt $10
M3HM	3-Month Highs S&P 500 Consumer Staples
M3HN	3-Month Highs NYSE
M3HO	3-Month Highs S&P 100
M3HP	3-Month Highs S&P 500
M3HQ	3-Month Highs Nasdaq
M3HR	3-Month Highs S&P 500 Real Estate
M3HS	3-Month Highs S&P 500 Health Care
M3HT	3-Month Highs S&P 500 Energies
M3HU	3-Month Highs Volume Lt 100K
M3HV	3-Month Highs Volume GT 100K
M3HW	3-Month Highs S&P 500 Telecom Srvs
M3HX	3-Month Highs Overall
M3HY	3-Month Highs S&P 500 Consumer Disc
M3HZ	3-Month Highs Russell 3000
M3LA	3-Month Lows AMEX
M3LB	3-Month Lows S&P 500 Materials
M3LC	3-Month Lows Russell 2000
M3LE	3-Month Lows ETFS
M3LF	3-Month Lows S&P 500 Financials
M3LG	3-Month Lows Russell 1000
M3LH	3-Month Lows Price GT $10
M3LI	3-Month Lows S&P 500 Industrials
M3LJ	3-Month Lows S&P 500 Utilities
M3LK	3-Month Lows S&P 500 Info Tech
M3LL	3-Month Lows Price Lt $10
M3LM	3-Month Lows S&P 500 Consumer Staples
M3LN	3-Month Lows NYSE
M3LO	3-Month Lows S&P 100
M3LP	3-Month Lows S&P 500
M3LQ	3-Month Lows Nasdaq
M3LR	3-Month Lows S&P 500 Real Estate
M3LS	3-Month Lows S&P 500 Health Care
M3LT	3-Month Lows S&P 500 Energies
M3LU	3-Month Lows Volume Lt 100K
M3LV	3-Month Lows Volume GT 100K
M3LW	3-Month Lows S&P 500 Telecom Srvs
M3LX	3-Month Lows Overall
M3LY	3-Month Lows S&P 500 Consumer Disc
M3LZ	3-Month Lows Russell 3000
M5DA	5-Day Hi-Lo AMEX
M5DB	5-Day Hi-Lo S&P 500 Materials
M5DC	5-Day Hi-Lo Russell 2000
M5DE	5-Day Hi-Lo ETFS
M5DF	5-Day Hi-Lo S&P 500 Financials
M5DG	5-Day Hi-Lo Russell 1000
M5DH	5-Day Hi-Lo Price GT $10
M5DI	5-Day Hi-Lo S&P 500 Industrials
M5DJ	5-Day Hi-Lo S&P 500 Utilities
M5DK	5-Day Hi-Lo S&P 500 Info Tech
M5DL	5-Day Hi-Lo Price Lt $10
M5DM	5-Day Hi-Lo S&P 500 Consumer Staples
M5DN	5-Day Hi-Lo NYSE
M5DO	5-Day Hi-Lo S&P 100
M5DP	5-Day Hi-Lo S&P 500
M5DQ	5-Day Hi-Lo Nasdaq
M5DR	5-Day Hi-Lo S&P 500 Real Estate
M5DS	5-Day Hi-Lo S&P 500 Health Care
M5DT	5-Day Hi-Lo S&P 500 Energies
M5DU	5-Day Hi-Lo Volume Lt 100K
M5DV	5-Day Hi-Lo Volume GT 100K
M5DW	5-Day Hi-Lo S&P 500 Telecom Srvs
M5DX	5-Day Hi-Lo Overall
M5DY	5-Day Hi-Lo S&P 500 Consumer Disc
M5DZ	5-Day Hi-Lo Russell 3000
M5HA	5-Day Highs AMEX
M5HB	5-Day Highs S&P 500 Materials
M5HC	5-Day Highs Russell 2000
M5HE	5-Day Highs ETFS
M5HF	5-Day Highs S&P 500 Financials
M5HG	5-Day Highs Russell 1000
M5HH	5-Day Highs Price GT $10
M5HI	5-Day Highs S&P 500 Industrials
M5HJ	5-Day Highs S&P 500 Utilities
M5HK	5-Day Highs S&P 500 Info Tech
M5HL	5-Day Highs Price Lt $10
M5HM	5-Day Highs S&P 500 Consumer Staples
M5HN	5-Day Highs NYSE
M5HO	5-Day Highs S&P 100
M5HP	5-Day Highs S&P 500
