Symbol	Description
DSAE	DJ US AERODEF
DSAF	DJ US DELIVRYSRV
DSAG	DJ US ASSETMNG
DSAI	DJ US ELECEQUIP
DSAL	DJ US ALUMINUM
DSAM	DJ US MEDEQUIP
DSAP	DJ US AUTOPARTS
DSAR	DJ US AIRLINES
DSAS	DJ US AEROSPACE
DSAT	DJ US AUTOPARTS
DSAU	DJ US AUTOMOBILE
DSAV	DJ US MEDIAAGN
DSBC	DJ US BRDCASTENT
DSBD	DJ US BLDGMATFIX
DSBE	DJ US BSTRNGEMP
DSBK	DJ US BANKS
DSBM	DJ US BASICMAT
DSBS	DJ US BSCRSRCES
DSBT	DJ US BIOTECHNO
DSBV	DJ US BEVERAGES
DSCA	DJ US GAMBLING
DSCC	DJ US COMMCHEM
DSCF	DJ US CLOTHACCSS
DSCG	DJ US TRAVLEIS
DSCH	DJ US CHEMICALS
DSCM	DJ US PERSPROD
DSCN	DJ US CONSMATRLS
DSCP	DJ US CTNRS&PKNG
DSCR	DJ US CMPTRHRDWR
DSCS	DJ US SPLTYCNSRV
DSCT	DJ US SEMICONDTR
DSCX	DJ US SPCLTYCHEM
DSCY	DJ US CONSUMSRV
DSDB	DJ US BREWERS
DSDN	DJ US DEFENSE
DSDR	DJ US FDDRGRET
DSDS	DJ US INSUPPLIER
DSDT	U.S. Diversified REITs Index
DSDV	DJ US CMPTRSRV
DSEC	DJ US ELCCOMPEQP
DSEE	DJ US ELECEQUP
DSEH	U.S. Real Estate Holding & Development Index
DSEN	DJ US OIL&GAS
DSES	U.S. Real Estate Services Index
DSEU	DJ US ELECTRCTY
DSFA	DJ US FINADMIN
DSFB	DJ US FOOD&BEV
DSFC	DJ US FXLNTELCM
DSFD	DJ US FOODRTWHSL
DSFE	DJ US INDUSTMACH
DSFH	DJ US FURNISHNG
DSFI	DJ US FINCLSRV
DSFN	DJ US FINANCIALS
DSFO	DJ US FOODPRODRS
DSFP	DJ US FOODPRDCTS
DSFT	DJ US FOOTWEAR
DSFV	U.S. Financial Services Index
DSGF	DJ US GENFINAN
DSGI	DJ US GENINDUST
DSGT	DJ US GENRETAIL
DSGU	DJ US GASDISTRIB
DSHB	DJ US HOMECONS
DSHC	DJ US HLTHCARE
DSHD	DJ US DURHLDPROD
DSHG	DJ US HLDGOODS
DSHI	DJ US HMIMPRETL
DSHL	U.S. Hotel & Lodging REITs Index
DSHN	DJ US NDURHLDPRD
DSHP	DJ US HLTHCRPVDR
DSHR	DJ US COMRVEHTRK
DSHV	DJ US HVYCONS
DSIB	DJ US INSBROKERS
DSID	DJ US DVSFINDUS
DSIF	DJ US FLLINEINS
DSIG	DJ US INDGDS&SRV
DSIL	DJ US LIFEINSUR
DSIM	DJ US INDMETALS
DSIN	DJ US INDSTRIALS
DSIO	U.S. Industrial & Office REITs Index
DSIP	DJ US PROPCASINS
DSIQ	DJ US INDSTENGNG
DSIR	DJ US INSURANCE
DSIS	DJ US SUPPORTSRV
DSIT	DJ US INDSTTRANS
DSIU	DJ US REINSURAN
DSIV	DJ US BUSSUPSRV
DSIX	DJ US NLIFEINSUR
